[0.000000] (-) TimerEvent: {}
[0.000132] (-) JobUnselected: {'identifier': 'beginner_tutorials'}
[0.000222] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000269] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000378] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000474] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000587] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000648] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000690] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000733] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000774] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000816] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000857] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000899] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000940] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000982] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001023] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001064] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001106] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001147] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001193] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001235] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001276] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001317] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001359] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001400] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001442] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.001483] (-) JobUnselected: {'identifier': 'my_package'}
[0.001524] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.001566] (-) EventReactorShutdown: {}
